,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
LRRC1,532.049,575.56,608.058,465.486,411.538,524.795
RP3-523E19.2,14.728,8.518,12.879,8.483,1.988,3.47
MLIP,91.13,65.709,65.313,156.929,119.286,104.959
RP11-411K7.1,11.046,19.469,15.638,3.181,8.946,13.879
RP11-411K7.4,1.841,6.084,0.92,2.121,1.988,0.867
RP11-411K7.5,0.0,2.434,0.0,0.0,0.0,0.867
TINAG,0.0,4.867,0.0,2.121,1.988,1.735
RP3-334F4.1,0.0,0.0,0.0,0.0,0.0,1.735
FAM83B,1.841,0.0,0.0,0.0,0.0,0.0
RP3-523K23.2,0.0,0.0,0.0,0.0,0.0,1.735
GFRAL,0.921,0.0,0.0,0.0,0.0,0.0
BMP5,0.0,0.0,0.0,0.0,1.988,0.0
COL21A1,0.0,7.301,0.0,12.724,7.952,8.674
RP3-445N2.1,1.841,0.0,0.0,0.0,0.0,0.0
RCC2P7,1.841,0.0,2.76,0.0,0.0,1.735
DST,27140.956,29385.202,28093.018,17766.942,21596.793,21021.299
RP11-472M19.2,6.444,1.217,0.92,14.845,4.97,20.818
RPL17P26,0.921,4.867,0.0,1.06,1.988,0.0
RNU6-626P,0.921,0.0,1.84,0.0,0.0,0.867
BEND6,72.72,100.997,107.629,22.267,18.887,8.674
RP11-129K24.3,0.0,0.0,1.84,0.0,1.988,0.0
FTH1P15,2.762,3.65,0.0,1.06,0.994,1.735
KIAA1586,458.409,463.612,480.191,447.461,368.794,490.098
ZNF451,2006.691,2007.768,2078.988,1636.094,1711.759,1821.603
RP11-203B9.4,77.322,47.456,72.673,60.439,60.637,63.322
BAG2,451.966,457.528,430.516,274.626,230.62,244.615
RAB23,251.297,178.874,269.533,157.99,194.834,198.641
PRIM2,213.556,225.113,203.299,384.901,329.032,379.067
MIR548U,0.0,0.0,0.0,2.121,0.0,0.0
RP1-71H19.2,0.921,0.0,2.76,0.0,0.0,0.0
XXbac-BPGBPG55C20.1,0.0,2.434,0.92,0.0,0.0,0.0
XXbac-BPGBPG55C20.2,29.456,29.204,34.956,29.689,24.851,26.89
GUSBP4,0.0,0.0,0.92,0.0,0.994,0.0
XXbac-BPG55C20.3,0.0,0.0,1.84,1.06,2.982,1.735
XXbac-BPG55C20.5,100.335,88.829,84.631,127.24,108.352,125.777
XXbac-BPG55C20.7,1.841,0.0,3.68,3.181,1.988,0.867
RBBP4P4,1.841,0.0,1.84,4.241,1.988,1.735
FKBP1C,32.218,24.337,24.837,89.068,94.435,114.501
PTP4A1,972.048,1155.987,1110.327,1217.262,1326.067,1483.305
RP5-1148A21.3,11.046,13.385,19.318,19.086,22.863,19.951
RPL9P18,0.0,0.0,0.0,0.0,3.976,1.735
